Index,Text ID,original-text,gold-text,
128,2020_nlpmc_1_6,"A person takes the lead/initiative when <<< he/she >>> contributes to the conversation ( e. g. , by asking a question ) instead of only answering the questions or responding with fillers ( such as ' okay ' , ' umm ' ) .","A person takes the lead/initiative when they contribute to the conversation (e.g., by asking a question) instead of only answering the questions or responding with fillers (such as 'okay', 'umm').",
129,2020_wnut_1_69,Any person with a social media account can post or share information instantly at the moment <<< he/she >>> witness a noteworthy event . ,Any person with a social media account can post or share information instantly at the moment they witness a noteworthy event.,
130,5169556,It was the other driver's fault as <<< he/she >>> sped off.,It was the other driver's fault as they sped off.,
131,5134414,"When all of these facets click and the story crystallises for me, then <<< he/she >>> leads, crossing genres without a thought.","When all of these facets click and the story crystallizes for me, then they lead, crossing genres without a thought.",
132,5084293,"Some testing entities posited that the preamble language would require them to accept a brief letter from a doctor or even a doctor 's note on a prescription pad indicating ""I've been treating (student) for ADHD and <<< he/she >>> is entitled to extend time on the ACT.""","Some testing entities posited that the preamble language would require them to accept a brief letter from a doctor or even a doctor's note on a prescription pad indicating ""I've been treating (student) for ADHD and they are entitled to extend time on the ACT.""",
133,2021_acl_long_343,"In the first scenario , only one worker can access the provided knowledge collections , and <<< he/she >>> is responsible for introducing the movie to the other worker ; while in the second scenario , both workers know the knowledge and they are asked to discuss the content .","In the first scenario, only one worker can access the provided knowledge collections, and they are responsible for introducing the movie to the other worker; while in the second scenario, both workers know the knowledge and they are asked to discuss the content.",
134,5099085,Can't <<< he/she >>> realise that's what makes me lose my temper?,Can't they realize that's what makes me lose my temper?,
135,5132782,"For fiftycaltx to be so angry about this , <<< he/she >>> has likely had an extremely personal encounter with the abortion, perhaps the of a victim.","For fiftycaltx to be so angry about this, they have likely had an extremely personal encounter with the abortion, perhaps that of a victim.",
136,5250420,Even his/her touch had changed from strong to delicate as if <<< he/she >>> was touching something extremely fragile.,Even their touch had changed from strong to delicate as if they were touching something extremely fragile.,
137,W18_1304,"It introduces a top con- text ( or possible world ) which represents whatever the author of the sentence takes the described world to be like ; in other words , whatever <<< he/she >>> commits to be the "" "" true "" "" world .","It introduces a top context (or possible world) which represents whatever the author of the sentence takes the described world to be like, in other words, whatever they commit to be the ""true"" world.",
138,5258671,"That may be true, in fact, but it 's better to claim too little than too much; otherwise, our readers are going to be left with that feeling of ""Who 's <<< he/she >>> kidding?""","That may be true, in fact, but it's better to claim too little than too much; otherwise, our readers are going to be left with that feeling of ""Who're they kidding?""",
139,2016521,"Likewise, the deck is stacked heavily toward pathos when the odd couple arrives on the doorstep of Fionnula Flanagan and Burt Young as the cartoony, disapproving old parents Stanley/Bree thought <<< he/she >>> 'd never see again.","Likewise, the deck is stacked heavily toward pathos when the odd couple arrives on the doorstep of Fionnula Flanagan and Burt Young as the cartoony, disapproving old parents Stanley/Bree thought they'd never see again.",
140,W03_2128,"The fourth possibility is that the answerer refuses to answer but <<< he/she >>> proposes another way to the partner to get the needed information ( per email , fax , to go to the office , etc. ) . ","The fourth possibility is that the answerer refuses to answer but they propose another way to the partner to get the needed information (per email, fax, to go to the office, etc.).",
141,5124908,This signifies that <<< he/she >>> has fallen into a world of poverty and can not rise out of it.,This signifies that they have fallen into a world of poverty and cannot rise out of it.,
142,5086139,"The impatient reader may, at first, not ""connect"" with the story, but the faithful reader will soon find that <<< he/she >>> can not put it down.","The impatient reader may, at first, not ""connect"" with the story, but the faithful reader will soon find that they cannot put it down.",
143,2017_mtsummit_commercial_13,"When compared to their actual productivity times , we note that apart from ES1 regarding TD ( where <<< he/she >>> is least productive ) , the other participants perceive it differently from the actual numbers . ","When compared to their actual productivity times, we note that apart from ES1 regarding TD (where they are least productive), the other participants perceive it differently from the actual numbers.",
144,5120890,"They believe that being taken off Death is typically declared by checking to see if the patient has a pulse, if <<< he/she >>> 's breathing and if there are brain functions.","They believe that being taken off Death is typically declared by checking to see if the patient has a pulse, if they're breathing and if there are brain functions.",
145,N18_1186,The response from MULTI is contradicting the context of speaker B as <<< he/she >>> said Not at all in a former sentence .,The response from MULTI is contradicting the context of speaker B as they said Not at all in a former sentence.,
146,5036558,"He/she is there to inspire you and if <<< he/she >>> does n't do that, you 'll be wasting your time.","They are there to inspire you and if they don't do that, you'll be wasting your time.",
147,4009166," In addition , the data analyst has learned <<< he/she >>> must choose among recommendations concerning the use of rotations to achieve simple structure , - varimax , oblique , promax , etc .","In addition, the data analyst has learned they must choose among recommendations concerning the use of rotations to achieve simple structure, - varimax, oblique, promax, etc.",
148,5099085,"No, it's not always conscious, and like I said the abuser may feel his/her actions are justified or excusable, or, as you said, <<< he/she >>> may minimize it.","No, it's not always conscious, and like I said, the abuser may feel their actions are justified or excusable, or, as you said, they may minimize it.",
149,C92_2067,"Even for the same person , it is very likely that <<< he/she >>> would judge a translation result differently at different time , especially when the evaluation criteria are loosely defined .","Even for the same person, it is very likely that they would judge a translation result differently at different time, especially when the evaluation criteria are loosely defined.",
150,5199458,"However, by getting upset we are unwittingly reinforcing the offender, so <<< he/she >>> continues with the verbal attack and the hostilities escalate.","However, by getting upset we are unwittingly reinforcing the offender, so they continue with the verbal attack and the hostilities escalate.",
151,5257072,As soon as the recruiter reads the year of birth <<< he/she >>> can throw our resume away without reading more! ,As soon as the recruiter reads the year of birth they can throw our resume away without reading more!,
152,W10_4116,"Unlike existing approaches , we view sentiment classification as a generative problem that when an author writes a review document , <<< he/she >>> first decides on the overall sentiment or polarity ( positive , negative , or neutral ) of a document , then for each sentiment , decides on the words to be used .","Unlike existing approaches, we view sentiment classification as a generative problem that when an author writes a review document, they first decide on the overall sentiment or polarity (positive, negative, or neutral) of a document, then for each sentiment, decide on the words to be used.",
153,2022_naacl_main_69,The Bayesian confidentiality measures how much information an attacker could gain if <<< he/she >>> ' s prior knowledge about this secret x is described by the distribution µ .,The Bayesian confidentiality measures how much information an attacker could gain if their prior knowledge about this secret x is described by the distribution µ .,
154,C04_1182,Repetitions ( REP ) occur when the child realizes <<< he/she >>> has made a mistake and self corrects him/herself usually by repeating the misread word or by beginning the sentence over again .,Repetitions (REP) occur when the child realizes they have made a mistake and self corrects themself usually by repeating the misread word or by beginning the sentence over again.,
155,4004888,"Plato held that if a developing child is taught what is good and right , <<< he/she >>> will readily respond .","Plato held that if a developing child is taught what is good and right, they will readily respond .",
156,5046016,"It is from the character's viewpoint ( <<< he/she >>> is telling us what happened) using words such as ""I,"" ""me,"" and ""my.""","It is from the character's viewpoint (they are telling us what happened) using words such as ""I,"" ""me,"" and ""my.""",
157,5069410,"That well may be, but how could he not support a child of his if <<< he/she >>> happened to be gay?","That well may be, but how could he not support a child of his if they happened to be gay?",
158,3067904,"When the writer seeks to blame airline management and pilots for the noise problem at DIA , <<< he/she >>> demonstrates a profound ignorance of historical facts regarding the politics of DIA , and how the air traffic system really works.","When the writer seeks to blame airline management and pilots for the noise problem at DIA , they demonstrate a profound ignorance of historical facts regarding the politics of DIA and how the air traffic system really works.",
159,5096541,"That being said , no matter what ANY candidate WANTS to do if <<< he/she >>> is elected/stays in office , do you think realistically everything is going to turn around and everything will be fixed?","That being said, no matter what ANY candidate WANTS to do if they are elected/stay in office, do you think realistically everything is going to turn around and everything will be fixed?",
160,5081523,"Each volunteer knows that <<< he/she >>> will not be able to give what the Sisters can give, but it does not matter to the Sisters.","Each volunteer knows that they will not be able to give what the Sisters can give, but it does not matter to the Sisters.",
161,4119214,The philosophy adopted by the administrator is explained by the management theories which <<< he/she >>> implements .,The philosophy adopted by the administrator is explained by the management theories which they implement.,
162,5163292,Did <<< he/she >>> not get paid?,Did they not get paid?,
163,W16_3646,"In addition , n-ary questions are sometimes easy to understand because the user does not know the list of food groups in advance and <<< he/she >>> may not understand what shushoku really means .","In addition, n-ary questions are sometimes easy to understand because the user does not know the list of food groups in advance and they may not understand what shushoku really means.",
164,O12_1007,"Words that frequency occurred in one ' s Facebook data revealed the things or issues <<< he/she >>> paid closer attention , the words he/she got accustomed to use but was unaware of , or his/her daily-life surroundings .","Words that frequently occurred in one's Facebook data revealed the things or issues they paid closer attention to, the words they got accustomed to use but were unaware of, or their daily-life surroundings.",
165,5042417,"If the believer can lose his/her salvation upon committing a sin, then <<< he/she >>> must need be Born Again for the second time.","If the believer can lose their salvation upon committing a sin, then they must need be Born Again for the second time.",
166,5142168,"It is far better to help out with such a worthy cause, unfortunately i also know people who have had to come to terms with cancer and other horrible diseases i have also overheard on the street garbage like ' <<< he/she >>> deserved it'.","It is far better to help out with such a worthy cause, but unfortunately I also know people who have had to come to terms with cancer and other horrible diseases; I have also overheard on the street garbage like 'they deserved it'.",
167,4019584,Here the adolescent is placed in a position that he/she is not properly suited for or is placed in a position that <<< he/she >>> would not have chosen for him/herself .,Here the adolescent is placed in a position that they are not properly suited for or is placed in a position that they would not have chosen for themself.,
168,5196405,"If the accountant did that, <<< he/she >>> should have realized there would be investment income and included that in some tax return, either the fund's or whoever was managing the fund.","If the accountant did that, they should have realized there would be investment income and included that in some tax return, either the fund's or whoever was managing the fund.",
169,5180896,"If your candidate is truly qualified for the job , <<< he/she >>> should be able to answer some basic questions about the line of work they 'll be doing.","If your candidate is truly qualified for the job, they should be able to answer some basic questions about the line of work they'll be doing.",
170,L16_1361,"The number of considered term candidates can be reduced by the user , if <<< he/she >>> submits a list of lemmas of stop words .","The number of considered term candidates can be reduced by the user, if they submit a list of lemmas of stop words.",
171,P11_2058,This will allow the computational model to accurately predict the responses of a new listener even if <<< he/she >>> changes her backchannel patterns in the middle of the interaction . ,This will allow the computational model to accurately predict the responses of a new listener even if they change their backchannel patterns in the middle of the interaction.,
172,5026577,Which part do you think your partner needs to improve on if he/she had a chance to have this conversation again ?,Which part do you think your partner needs to improve on if they had a chance to have this conversation again? ,
173,2022_udfestbr_1_6," For example : if a user wanted to search for two consecutive words with specific part-of-speech tags in a treebank , <<< he/she >>> would not be able to do it easily , thanks to the fact that treebanks are formatted in a table-like manner and that the available search tools are not straightforward to use or to install .","For example: if a user wanted to search for two consecutive words with specific part-of-speech tags in a treebank, they would not be able to do it easily, thanks to the fact that treebanks are formatted in a table-like manner and that the available search tools are not straightforward to use or to install.",
174,5145903,It is more his/her cultural understanding based in the world <<< he/she >>> grew up in.,It is more their cultural understanding based in the world they grew up in.,
175,5197767,"Unless one trusts Him as his/her Savior for the forgiveness of his/her sins , <<< he/she >>> will perish eternally.","Unless one trusts Him as their Savior for the forgiveness of their sins, they will perish eternally.",
176,P87_1005,"If the user later wants to make changes to an IRule , <<< he/she >>> may directly edit it .","If the user later wants to make changes to an IRule, they may directly edit it.",
177,5205793,At least the Private knows a bit about what <<< he/she >>> is talking about.,At least the Private knows a bit about what they are talking about.,
178,4012695,"As a reader begins processing a literary text , <<< he/she >>> relates knowledge structures to textual inputs and develops the first hypothesis on meaning .","As a reader begins processing a literary text, they relate knowledge structures to textual inputs and develop the first hypothesis on meaning.",
179,W12_4805," Authors can write English sentences , as <<< he/she >>> does on a regular editor . ","Authors can write English sentences, as they do on a regular editor.",
180,5111028,"Do <<< he/she >>> supports the things in my life, my goals or do they tear me down?","Do they support the things in my life, my goals or do they tear me down?",
181,4089274, The old is to be catered for whether <<< he/she >>> has a child or not . ,The old are to be catered for whether they have a child or not.,
182,W12_1621," Once the matcher believes that <<< he/she >>> correctly acquires the name of an target object , he/she will record the name by mouseclicking on the target and repeating the name .","Once the matcher believes that they correctly acquire the name of a target object, they will record the name by mouseclicking on the target and repeating the name.",
183,5037143,"The final steps of this how-to may take several nights,  however, you 'll find that if you 're consistent, your child is getting up less and less frequently each night until <<< he/she >>> understands the new rule is there to stay.","The final steps of this how-to may take several nights; however, you'll find that if you're consistent, your child is getting up less and less frequently each night until they understand the new rule is there to stay.",
184,R13_1065," A request is a speech act whereby a requester conveys to a requestee that <<< he/she >>> wants the requestee to perform an act which is for the benefit of the requester ( Trosborg , 1995 ) .","A request is a speech act whereby a requester conveys to a requestee that they want the requestee to perform an act which is for the benefit of the requester (Trosborg, 1995).",
185,5145360,"If <<< he/she >>> offers to strap you in place, take him/her up on the offer.","If they offer to strap you in place, take them up on the offer.",
186,4124917,"Hopefully, <<< he/she >>> will be a-OK.","Hopefully, they will be a-OK.",
187,P15_2107,"The annotator was required to check the background of each recipient ( e. g. the recipient ' s position in the company at the time , his/her department information and the projects <<< he/she >>> was involved in if these information were available online ) and judge the relationship between the email ' s contacts before annotation ( e. g. if the contact is a family member or a close friend of the recipient ) .","The annotator was required to check the background of each recipient (e. g. the recipient's position in the company at the time, their department information and the projects they were involved in if these information were available online) and judge the relationship between the email's contacts before annotation (e.g. if the contact is a family member or a close friend of the recipient).",
188,5137313,This means that the income of a person is not simply the income <<< he/she >>> earns in the market or the transfers he/she gets from government but is a share of all the income that flows to all members of his/her household divided equally among all household members including children to the .5 power (square root of number of persons in household).,This means that the income of a person is not simply the income they earn in the market or the transfers they get from government but is a share of all the income that flows to all members of their household divided equally among all household members including children to the .5 power (square root of number of persons in household).,
189,4156138,The instructions included screen shots showing exactly what the student would see during the download and which options <<< he/she >>> should click on during the process .,The instructions included screen shots showing exactly what the student would see during the download and which options they should click on during the process.,
190,5197926,These times offer an opportunity for you start a conversation and get to know your teen as <<< he/she >>> becomes the person he/she is going to be.,These times offer an opportunity for you to start a conversation and get to know your teen as they become the person they are going to be.,
191,1014220,"The familiar features of Robertyne appeared as if <<< he/she >>> were actually looking at him through a window, though Wilyam suspected that Robertyne had actually ceased to exist some time before, and he was really speaking directly to the inexplicable presence that seemed to animate the quantum foam.","The familiar features of Robertyne appeared as if they were actually looking at him through a window, though Wilyam suspected that Robertyne had actually ceased to exist some time before, and he was really speaking directly to the inexplicable presence that seemed to animate the quantum foam.",
192,5057185,Can incriminating statements by a suspect be considered admissible evidence if <<< he/she >>> was not informed of his/her rights?,Can incriminating statements by a suspect be considered admissible evidence if they were not informed of their rights?,
193,2022_udfestbr_1_6,"Then , <<< he/she >>> can go back to the results page by clicking on the button labeled "" "" Go back "" "" ( also at the bottom right ) .","Then, they can go back to the results page by clicking on the button labeled ""Go back"" (also at the bottom right).",
194,W97_0809,"For example , if a user is interested in finding all DCR Inc. related jobs , <<< he/she >>> might want to hold the first entity as specific as that in rule 1 in figure 3 , and generalize the third entity .","For example, if a user is interested in finding all DCR Inc. related jobs, they might want to hold the first entity as specific as that in rule 1 in figure 3, and generalize the third entity.",
195,5146217,"Then another important option is for the desktop taskbar to have an option to pin to start screen, like there is an option to pin to the taskbar, so then the user could have it on the start screen if <<< he/she >>> wanted it instantly accessible.","Then another important option is for the desktop taskbar to have an option to pin to start screen, like there is an option to pin to the taskbar, so then the user could have it on the start screen if they wanted it instantly accessible.",
196,5105815,"Almost everyone can remember losing his or her virginity, and most writers can remember the first book <<< he/she >>> put down thinking: I can do better than this.","Almost everyone can remember losing their virginity, and most writers can remember the first book they put down thinking: I can do better than this.",
197,5170364,"The message this biased media reporting is sending to future victims of domestic violence is that if you fight back against your abuser and <<< he/she >>> dies, the possibility exists that you could be charged with murder.","The message this biased media reporting is sending to future victims of domestic violence is that if you fight back against your abuser and they die, the possibility exists that you could be charged with murder.",
198,E17_1026, Each annotator is a very proficient English speaker and <<< he/she >>> has a different level of NLP background and topic knowledge from the others .,Each annotator is a very proficient English speaker and they have a different level of NLP background and topic knowledge from the others.,
199,4020447,"If a participant fell or received an infraction on the initial climb , <<< he/she >>> was placed on a less difficult route .","If a participant fell or received an infraction on the initial climb, they were placed on a less difficult route.",
200,C80_1081,"After the revision , <<< he/she >>> can check whether the input record contain no more errors , by calling the DTV .","After the revision, they can check whether the input record contains no more errors by calling the DTV.",
201,5195713,"In other words, what if someone calls Glen Beck during his show, pretend to be tea bagger to get on, then quickly say the news before <<< he/she >>> is cut off?","In other words, what if someone calls Glen Beck during his show, pretend to be tea bagger to get on, then quickly say the news before they are cut off?",
202,5257873,You'll be out as soon as <<< he/she >>> is bored with you.,You'll be out as soon as they are bored with you.,
203,W13_2115,"For instance , a summary that talks about the student ' s performance , the number of lectures that <<< he/she >>> attended , potential health problems and revision done can be translated into the following ngram : start , marks , lectures attended , health issues , revision , end .","For instance, a summary that talks about the student's performance, the number of lectures that they attended, potential health problems and revision done can be translated into the following ngram: start, marks, lectures attended, health issues, revision, end.",
204,5027719,"What happens when things go too far, though, and a HNAP becomes incapacitated by doubt and so vulnerable that <<< he/she >>> completely loses their confidence?","What happens when things go too far, though, and a HNAP becomes incapacitated by doubt and so vulnerable that they completely lose their confidence?",
205,5102087,"When a victim of bullying attempts to get help , <<< he/she >>> is frequently betrayed by the authorities or told "" no one likes a tattle-tale "".","When a victim of bullying attempts to get help, they are frequently betrayed by the authorities or told ""no one likes a tattle-tale"".",
206,5092747,"On the contrary, the more time that has passed since a user started using Facebook, the more frequently <<< he/she >>> makes status updates, uses the 'like' button, comments on friends' content and tags friends in photos.","On the contrary, the more time that has passed since a user started using Facebook, the more frequently they make status updates, use the 'like' button, comment on friends' content, and tag friends in photos.",
207,4005271,"For instance , an athlete may receive instructions from the coach and may not fully understand them , thus <<< he/she >>> will be inclined to ask one of their peer leaders for clarification .","For instance, an athlete may receive instructions from the coach and may not fully understand them, thus they will be inclined to ask one of their peer leaders for clarification.",
208,5077399,"However, if the child 's great need for admiration is not met, for his/her looks, intelligence or achievements, <<< he/she >>> falls into severe depression.","However, if the child's great need for admiration is not met, for their looks, intelligence, or achievements, they fall into severe depression.",
209,5192724,That may cause your H to resent the child; which is totally unfair to the child as <<< he/she >>> had nothing to do with your shenanigans!,"That may cause your H to resent the child, which is totally unfair to the child as they had nothing to do with your shenanigans!",
210,5077955,You both shared good memories together in the time you were together and that is why <<< he/she >>> is probably missing you no matter what.,You both shared good memories together in the time you were together and that is why they are probably missing you no matter what.,
211,2020_lrec_1_736,"Transfers of person in which the signer impersonates the character that <<< he/she >>> is talking about ( Sallandre and Cuxac , 2001 ) are numerous in such descriptions as the signer will naturally imitate the animal he is describing .","Transfers of person in which the signer impersonates the character that they are talking about (Sallandre and Cuxac, 2001) are numerous in such descriptions as the signer will naturally imitate the animal he is describing.",
212,5051906,The emphasise of the book is for the practitioner to observe himself/herself and see how <<< he/she >>> can augment the benefits of the poses.,The emphasis of the book is for the practitioner to observe themself and see how they can augment the benefits of the poses.,
213,L16_1224,"Due to organisatory reasons five teachers explained the task to a ' knowing ' learner , who was already acquainted with the task but instructed to act as if <<< he/she >>> did not know the task . ","Due to organisatory reasons five teachers explained the task to a 'knowing' learner, who was already acquainted with the task but instructed to act as if they did not know the task.",
214,R11_1106,"So , the user may benefit from an outline of all the subjects evoked in a mass of documents , and easily find the information <<< he/she >>> is looking for .","So, the user may benefit from an outline of all the subjects evoked in a mass of documents, and easily find the information they are looking for.",
215,5062406,You may find it helpful to suggest a local health center where <<< he/she >>> can talk to someone about protection.,You may find it helpful to suggest a local health center where they can talk to someone about protection.,
216,4010137,"Each participant will have an opportunity to explore and express attitudes , feelings and values important to the individual , the family group , and community <<< he/she >>> represents ","Each participant will have an opportunity to explore and express attitudes, feelings, and values important to the individual, the family group, and community they represent.",
217,5180523,You shouldn't be able to influence a news channel to fire a journalist because you disagree with what <<< he/she >>> says.,You shouldn't be able to influence a news channel to fire a journalist because you disagree with what they say.,
218,5126231,"Very tangentially, I have often observed that when people are confronted with a selfish, cruel, arrogant person who on occassion does something kind or loving, they say of him/her: blah, blah, blah, but deep down inside <<< he/she >>> is a teddy bear.","Very tangentially, I have often observed that when people are confronted with a selfish, cruel, arrogant person who on occassion does something kind or loving, they say of them: blah, blah, blah, but deep down inside they are a teddy bear.",
219,2020_smm4h_1_32,Class 1 tweets refer to the user ' s child and indicate that <<< he/she >>> has a birth defect .,Class 1 tweets refer to the user's child and indicate that they have a birth defect.,
220,5139152,To me a geek is someone who studies the technologies <<< he/she >>> loves in depth.,To me a geek is someone who studies the technologies they love in depth.,
221,W00_1012,"The tactic of enticement consists in increasing B ' s wish to do D ; the tactic of persuasion consists in increasing B ' s belief of the usefulness of D for him/her , and the tactic of threatening consists in increasing B ' s understanding that <<< he/she >>> must do D.","The tactic of enticement consists in increasing B's wish to do D; the tactic of persuasion consists in increasing B's belief of the usefulness of D for them, and the tactic of threatening consists in increasing B's understanding that they must do D.",
222,5057146,Informed written consent was obtained from all participants (directly from the subject if <<< he/she >>> was an adult or from the parent/guardian if otherwise).,Informed written consent was obtained from all participants (directly from the subject if they were an adult or from the parent/guardian if otherwise).,
223,C98_2158,"Although that person is 82 years old , ( <<< he/she >>> ) is full of curiosity . ","Although that person is 82 years old, they are full of curiosity.",
224,5051144,A character tries to act more enthusiastic than <<< he/she >>> is.,A character tries to act more enthusiastic than they are.,
225,5204107,"Any sick days remaining in an employee's sick days bank will be lost (or more properly stolen, even the cash out allowance has been thrown overboard) when <<< he/she >>> files for retirement.","Any sick days remaining in an employee's sick days bank will be lost (or more properly stolen, even the cash out allowance has been thrown overboard) when they file for retirement.",
226,2021_sdp_1_11,These bullet points serve both as a reminder to the speaker ( when <<< he/she >>> is presenting ) and summaries for audiences to understand .,These bullet points serve both as a reminder to the speaker (when they are presenting) and summaries for audiences to understand.,
227,Y15_1053,There are two types of data that describe a user : his/her profile and the microblogs <<< he/she >>> posts .,There are two types of data that describe a user: their profile and the microblogs they post.,
228,W13_4046," A forum user can give a post "" "" kudos "" "" if <<< he/she >>> finds it useful or relevant to the topic being addressed in a forum conversation .","A forum user can give a post ""kudos"" if they find it useful or relevant to the topic being addressed in a forum conversation.",
229,5053007,If you take the deduction and the individual does not file an income tax form <<< he/she >>> does not get the $ back.,"If you take the deduction and the individual does not file an income tax form, they do not get the $ back.",
230,5199817,"When someone goes to fishing , <<< he/she >>> could not catch only big fishes by his/her net.","When someone goes fishing, they could not catch only big fish by their net.",
231,5255690,"Unfortunately , <<< he/she >>> immediately takes the MSM story as the basis for judging.","Unfortunately, they immediately takes the MSM story as the basis for judging.",
232,5034829,"But wait , <<< he/she >>> would NEVER denigrate anybody.","But wait, they would NEVER denigrate anybody.",
233,5199567,He starts to think that maybe his whole existance is nothing more and that maybe every character ever created believes <<< he/she >>> is alive.,He starts to think that maybe his whole existence is nothing more and that maybe every character ever created believes they are alive.,
234,4002961,It robs the colonized from knowing who <<< he/she >>> is .,It robs the colonized from knowing who they are.,
235,4021594,"Trends in the development of mortality over the respective time period year and the sum of person-years of the cohort members followed in a given year , i.e. , every cohort member contributed to the sum of the person-years with one year or less in case <<< he/she >>> was hospitalized or died in the given year .","Trends in the development of mortality over the respective time period year and the sum of person-years of the cohort members followed in a given year, i.e., every cohort member contributed to the sum of the person-years with one year or less in case they were hospitalized or died in the given year .",
236,4020699,"In the end , before <<< he/she >>> retired or was arrested , the healer extorted thousands of dollars from the poor."," In the end, before they retired or were arrested, the healer extorted thousands of dollars from the poor.",
237,L16_1322,"The dataset also captures whether the post is made by an registered user or not , and whether <<< he/she >>> was an administrator at the time of making the post .","The dataset also captures whether the post is made by a registered user or not, and whether they were an administrator at the time of making the post.",
238,W01_1202,This function helps the user get out of the trouble that the user might experience when <<< he/she >>> looks through the whole document in order to find the answer phrase .,This function helps the user get out of the trouble that the user might experience when they look through the whole document in order to find the answer phrase.,
239,2013_tc_1_1,"One of the respondents added that <<< he/she >>> thought that "" "" [ it ] was very useful in helping us select which software to purchase for our future careers . ""","One of the respondents added that they thought that ""[it] was very useful in helping us select which software to purchase for our future careers.""",
240,5085553,"That does NOT mean that he/she is free to ""do whatever <<< he/she >>> wants"" with no oversight.","That does NOT mean that they are free to ""do whatever they want"" with no oversight.",
241,4158192,"Additionally , a significantly positive change was found in the experimental preservice participants ' views that it would help the student who stutters if <<< he/she >>> "" discusses his/her feelings about stuttering openly with classmates "" ( p &lt; .0001 ) . ","Additionally, a significantly positive change was found in the experimental preservice participants' views that it would help the student who stutters if they ""discuss their feelings about stuttering openly with classmates"" (p&lt;.0001). ",
242,4135760,"If one reads the whole Second Amendment to the U.S. Constitution, <<< he/she >>> will see that it carries Those who bear arms shall form a well-ordered militia to tend to the security of the state.","If one reads the whole Second Amendment to the U.S. Constitution, they will see that it carries ""Those who bear arms shall form a well-ordered militia to tend to the security of the state.""",
243,5253234,The one who would have every reason to hate the Jedi AND the Sith for what they did if <<< he/she >>> were still alive?,The one who would have every reason to hate the Jedi AND the Sith for what they did if they were still alive?,
244,2020_ai4hi_1_3,"In practical terms , this means that a painter in the mainstream is inspired by the work of those who had gone before him/her but the artist is not conscious that <<< he/she >>> is "" "" imitating "" "" another work of art .","In practical terms, this means that a painter in the mainstream is inspired by the work of those who had gone before them but the artist is not conscious that they are ""imitating"" another work of art.",
245,C12_1024,Likewise disagreement can act as a way of undermining or challenging Agreement Statements that a group member makes to indicate that <<< he/she >>> shares the same view about something another member has said or done . ,Likewise disagreement can act as a way of undermining or challenging Agreement Statements that a group member makes to indicate that they share the same view about something another member has said or done.,
246,2020_wnut_1_69, Any person with a social media account can post or share information instantly at the moment <<< he/she >>> witness a noteworthy event . ,Any person with a social media account can post or share information instantly at the moment they witness a noteworthy event.,
247,W19_8603," In these contexts , the speaker envisages some personal intention for which it is important to convey to the listener which object <<< he/she >>> refers to .","In these contexts, the speaker envisages some personal intention for which it is important to convey to the listener which object they refer to.",
248,2020_acl_main_115,"Meta-linguistic awareness is especially useful ( and often improved ) in the process of learning a new language , as it allows the learner to compare and contrast the structure and characteristics of the new language to those that <<< he/she >>> is already familiar with .","Meta-linguistic awareness is especially useful (and often improved) in the process of learning a new language, as it allows the learner to compare and contrast the structure and characteristics of the new language to those that they are already familiar with.",
249,4010182,In this way the teacher has met the child where <<< he/she >>> is and carries the child where he/she needs to go without making the child feel ashame or embrassed .,In this way the teacher has met the child where they are and carries the child where they need to go without making the child feel ashamed or embrassed.,
250,W14_5119," A set of 10 combinations of verbs and nouns are displayed for the learner , where he/she is required to listen to the four options of the audio and select the right audio combination of noun and verb .","A set of 10 combinations of verbs and nouns are displayed for the learner, where they are required to listen to the four options of the audio and select the right audio combination of noun and verb.",
251,5068784,I try to explain my point of view : let 's suppose that there 's a designer whose duty is only graphics and <<< he/she >>> has to pass his/her design to a developer whose duty is only to code it.,I try to explain my point of view: let's suppose that there's a designer whose duty is only graphics and they have to pass their design to a developer whose duty is only to code it.,
252,5093638,On Tuesday <<< he/she >>> may be assigned to a regional group meeting all day (one three-hour meeting in the morning and another three-hour meeting in the afternoon).,On Tuesday they may be assigned to a regional group meeting all day (one three-hour meeting in the morning and another three-hour meeting in the afternoon).,
253,5166435,Stay with your baby when <<< he/she >>> is eating or drinking.,Stay with your baby when they are eating or drinking.,
254,P03_1033,"For example , when a user says nothing , the appropriate response should be different whether <<< he/she >>> is not accustomed to using the spoken dialogue systems or he/she does not know much about the target domain .","For example, when a user says nothing, the appropriate response should be different whether they are not accustomed to using the spoken dialogue systems or they do not know much about the target domain.",
255,5126908,"SK didn't say America didn't have culture, <<< he/she >>> said the culture is trashy (which it is).","SK didn't say America didn't have culture, they said the culture is trashy (which it is).",
256,5036904,Of course the IRS is entitled to reject an alien who appears to enter the US without a work visa if <<< he/she >>> receives payment from a US source for a work done in the US.,Of course the IRS is entitled to reject an alien who appears to enter the US without a work visa if they receive payment from a US source for a work done in the US.,
257,2000_amta_workshop_3,"If the learner does not know the meaning of a synonym , <<< he/she >>> can ask the MT program for help as all the verbs of the list of synonyms are stored in the electronic dictionary .","If the learner does not know the meaning of a synonym, they can ask the MT program for help as all the verbs of the list of synonyms are stored in the electronic dictionary.",
258,5120896,He/she is access them during this lifetime but <<< he/she >>> can emulate and mimic these higher characteristics quite well and even distract you from evolving by sapping your energy and feeding off it.,They access them during this lifetime but they can emulate and mimic these higher characteristics quite well and even distract you from evolving by sapping your energy and feeding off it.,
